Cst_Cnt,Cruise_ID,Cruise,Cruz_Sta,DbSta_ID,Cast_ID,Sta_ID,Quarter,Sta_Code,Distance,Date,Year,Month,Julian_Date,Julian_Day,Time,Lat_Dec,Lat_Deg,Lat_Min,Lat_Hem,Lon_Dec,Lon_Deg,Lon_Min,Lon_Hem,Rpt_Line,St_Line,Ac_Line,Rpt_Sta,St_Station,Ac_Sta,Bottom_D,Secchi,Ship_Name,Ship_Code,Data_Type,Order_Occ,Event_Num,Orig_Sta_ID,Data_Or,Cruz_Num,IntChl,Wave_Dir,Wave_Ht,Wave_Prd,Wind_Dir,Wind_Spd,Barometer,Dry_T,Wet_T,Wea,Cloud_Typ,Cloud_Amt,Visibility
1.0,1949-03-01-C-31CR,194903.0,19490305400560.0,5400560.0,19-4903CR-HY-060-0930-05400560,054.0 056.0,1.0,NST,-83.37,03/01/1949,1949.0,3.0,17958.0,60.0,09:30:00,38.833333,38.0,50.0,N,-124.083333,-124.0,5.0,W,54.0,54.0,53.8,56.0,56.0,55.8,2048.0,19.0,CREST,31CR,HY,39.0,1.0,054 56,3101,4903,33.1,31.0,4.0,6.0,23.0,18.0,1016.2,16.1,14.3,2.0,6.0,6.0,7.0
12.0,1949-03-01-C-31CR,194903.0,19490306000970.0,6000970.0,19-4903CR-HY-064-1148-06000970,060.0 097.0,1.0,NST,-190.33,03/05/1949,1949.0,3.0,17962.0,64.0,11:48:00,36.475,36.0,28.5,N,-126.316666,-126.0,19.0,W,60.0,60.0,59.5,97.0,97.0,96.7,2048.0,19.0,CREST,31CR,HY,39.0,12.0,060 97,3101,4903,33.1,31.0,4.0,6.0,29.0,18.0,1016.2,16.1,14.3,1.0,6.0,6.0,7.0
13.0,1949-03-01-C-31CR,194903.0,19490306100870.0,6100870.0,19-4903CR-HY-064-1800-06100870,061.0 087.0,1.0,NST,-151.22,03/05/1949,1949.0,3.0,17962.0,64.0,18:00:00,36.691666,36.0,41.5,N,-125.533333,-125.0,32.0,W,61.0,61.0,60.1,87.0,87.0,86.9,2048.0,19.0,CREST,31CR,HY,39.0,13.0,061 87,3101,4903,33.1,31.0,4.0,6.0,27.0,13.0,1016.2,16.1,14.3,1.0,6.0,6.0,7.0
14.0,1949-03-01-C-31CR,194903.0,19490306100780.0,6100780.0,19-4903CR-HY-064-2330-06100780,061.0 078.0,1.0,NST,-83.37,03/05/1949,1949.0,3.0,17962.0,64.0,23:30:00,36.85,36.0,51.0,N,-124.8,-124.0,48.0,W,61.0,61.0,60.9,78.0,78.0,78.1,2048.0,19.0,CREST,31CR,HY,39.0,14.0,061 78,3101,4903,33.1,31.0,4.0,6.0,27.0,8.0,1016.2,16.1,14.3,1.0,6.0,6.0,7.0
15.0,1949-03-01-C-31CR,194903.0,19490306200680.0,6200680.0,19-4903CR-HY-065-0518-06200680,062.0 068.0,1.0,NST,-83.37,03/06/1949,1949.0,3.0,17963.0,65.0,05:18:00,37.075,37.0,4.5,N,-123.966666,-123.0,58.0,W,62.0,62.0,61.6,68.0,68.0,67.8,2048.0,19.0,CREST,31CR,HY,39.0,15.0,062 68,3101,4903,33.1,31.0,4.0,6.0,27.0,5.0,1016.2,16.1,14.3,1.0,6.0,6.0,7.0
17.0,1949-03-01-C-31CR,194903.0,19490307200560.0,7200560.0,19-4903CR-HY-066-0000-07200560,072.0 056.0,1.0,NST,-83.37,03/07/1949,1949.0,3.0,17964.0,66.0,00:00:00,35.816666,35.0,49.0,N,-121.833333,-121.0,50.0,W,72.0,72.0,71.4,56.0,56.0,54.9,2048.0,19.0,CREST,31CR,HY,39.0,17.0,072 56,3101,4903,33.1,31.0,4.0,6.0,29.0,5.0,1016.2,16.1,14.3,1.0,6.0,6.0,7.0
19.0,1949-03-01-C-31CR,194903.0,19490307100760.0,7100760.0,19-4903CR-HY-067-0518-07100760,071.0 076.0,1.0,NST,-83.37,03/08/1949,1949.0,3.0,17965.0,67.0,05:18:00,35.066666,35.0,4.0,N,-123.333333,-123.0,20.0,W,71.0,71.0,71.5,76.0,76.0,76.4,2048.0,19.0,CREST,31CR,HY,39.0,19.0,071 76,3101,4903,33.1,31.0,4.0,6.0,29.0,10.0,1016.2,16.1,14.3,1.0,6.0,6.0,7.0
24.0,1949-03-01-C-31HO,194903.0,19490308200970.0,8200970.0,19-4903HO-HY-074-0306-08200970,082.0 097.0,1.0,NST,-187.06,03/15/1949,1949.0,3.0,17972.0,74.0,03:06:00,32.833333,32.0,50.0,N,-123.666666,-123.0,40.0,W,82.0,82.0,80.4,97.3,97.0,97.3,2048.0,19.0,HORIZON,31HO,HY,39.0,24.0,082 57,3101,4903,33.1,31.0,4.0,6.0,31.0,5.0,1016.2,16.1,14.3,1.0,6.0,6.0,7.0
25.0,1949-03-01-C-31HO,194903.0,19490308200870.0,8200870.0,19-4903HO-HY-074-0948-08200870,082.0 087.0,1.0,NST,-173.59,03/15/1949,1949.0,3.0,17972.0,74.0,09:48:00,32.95,32.0,57.0,N,-122.8,-122.0,48.0,W,82.0,82.0,81.7,87.0,87.0,87.0,2048.0,19.0,HORIZON,31HO,HY,39.0,25.0,082 87,3101,4903,33.1,31.0,4.0,6.0,23.0,5.0,1016.2,16.1,14.3,2.0,6.0,6.0,7.0
26.0,1949-03-01-C-31HO,194903.0,19490308200770.0,8200770.0,19-4903HO-HY-074-1606-08200770,082.0 077.0,1.0,NST,-127.69,03/15/1949,1949.0,3.0,17972.0,74.0,16:06:00,33.25,33.0,15.0,N,-122.083333,-122.0,5.0,W,82.0,82.0,81.9,77.0,77.0,76.9,2048.0,19.0,HORIZON,31HO,HY,39.0,26.0,082 77,3101,4903,33.1,31.0,4.0,6.0,31.0,8.0,1016.2,16.1,14.3,1.0,6.0,6.0,7.0
